date;steps;distance;activeScore;activeScore;calories;caloriesIn;minutesSedentary;minutesLightlyActive;minutesFairlyActive;minutesVeryActive;timeInBed;minutesAsleep;minutesAwake;awakeningsCount
9/27/2012;3822;2.74802;232;232;2173;0;1371;21;31;17;0;0;0;0
9/28/2012;20853;14.99331;1256;1256;3505;0;1102;84;151;103;0;0;0;0
9/29/2012;20483;14.80277;1284;1284;3541;0;1067;127;137;109;0;0;0;0
9/30/2012;7700;5.5363;538;538;2571;0;1232;95;97;16;0;0;0;0
10/1/2012;6816;4.9007;328;328;2298;0;1216;120;92;12;0;0;0;0
10/2/2012;7551;5.38675;571;571;2614;0;1185;127;128;0;0;0;0;0
10/3/2012;12680;9.16078;869;869;3002;0;1126;133;131;50;0;0;0;0
10/4/2012;11130;8.00247;724;724;2813;0;1204;95;93;48;0;0;0;0
10/5/2012;20014;14.39007;1197;1197;3428;0;1132;75;102;131;0;0;0;0
10/6/2012;3753;2.69841;306;306;2270;0;1295;86;58;1;0;0;0;0
10/7/2012;6332;4.55271;395;395;2385;0;1330;38;30;42;0;0;0;0
10/8/2012;13171;9.4793;824;824;2943;0;1196;82;89;73;0;0;0;0
10/9/2012;7621;5.4795;492;492;2512;0;1295;65;29;51;0;0;0;0
10/10/2012;7578;5.46224;491;491;2510;0;1283;58;62;37;0;0;0;0
10/11/2012;4974;3.5799;323;323;2292;0;1336;44;37;23;0;0;0;0
10/12/2012;6533;4.69723;448;448;2454;0;1274;79;69;18;0;0;0;0
10/13/2012;11372;8.17647;755;755;2854;0;1177;113;114;36;0;0;0;0
10/14/2012;10680;7.70844;742;742;2836;0;1175;129;96;40;0;0;0;0
10/15/2012;10832;7.84285;848;848;2975;0;1151;96;176;17;0;0;0;0
10/16/2012;11401;8.19732;909;909;3054;0;1149;102;114;75;0;0;0;0
10/17/2012;9368;6.73559;621;621;2679;0;1236;81;81;42;0;0;0;0
10/18/2012;11820;8.4878;759;759;2859;0;1202;86;92;60;0;0;0;0
10/19/2012;5733;4.12203;444;444;2449;0;1245;117;71;7;0;0;0;0
10/20/2012;11036;7.93488;732;732;2824;0;1208;113;57;62;0;0;0;0
10/21/2012;7108;5.11065;462;462;2472;0;1242;99;78;21;0;0;0;0
10/22/2012;4839;3.47924;349;349;2326;0;1306;78;36;20;0;0;0;0
10/23/2012;3083;2.23034;178;178;2104;0;1397;12;10;21;0;0;0;0
10/24/2012;13129;9.4304;767;767;2869;0;1275;36;26;103;0;0;0;0
10/25/2012;4453;3.20171;313;313;2279;0;1318;59;52;11;0;0;0;0
10/26/2012;3618;2.59631;333;333;2305;0;1271;117;52;0;0;0;0;0
10/27/2012;10120;7.24608;639;639;2703;0;1246;62;75;57;0;0;0;0
10/28/2012;5576;4.00914;435;435;2438;0;1240;114;85;1;0;0;0;0
10/29/2012;15060;10.82814;928;928;3079;0;1173;85;105;77;0;0;0;0
10/30/2012;2646;1.89169;221;221;2159;0;1334;65;41;0;0;0;0;0
10/31/2012;4869;3.50009;346;346;2322;0;1301;60;70;9;0;0;0;0
11/1/2012;10756;7.73356;680;680;2756;0;1235;78;69;58;0;0;0;0
