Indicação de data e hora,O que você faria?
25/10/2015 12:07:38,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 12:08:57,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 12:09:57,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 12:22:54,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 12:35:58,Compraria o DVD.
25/10/2015 12:44:14,Compraria o DVD.
25/10/2015 12:44:21,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 13:08:48,Compraria o DVD.
25/10/2015 13:23:18,Compraria o DVD.
25/10/2015 13:33:52,Compraria o DVD.
25/10/2015 14:22:40,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 14:34:49,Compraria o DVD.
25/10/2015 14:56:39,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 15:23:02,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 16:09:27,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 16:17:39,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 18:14:26,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 18:15:56,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 18:16:50,Compraria o DVD.
25/10/2015 18:33:09,Compraria o DVD.
25/10/2015 18:59:40,Compraria o DVD.
25/10/2015 18:59:51,Compraria o DVD.
25/10/2015 19:04:18,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
25/10/2015 20:52:31,Compraria o DVD.
25/10/2015 22:06:38,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
26/10/2015 01:21:32,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
26/10/2015 05:51:48,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
26/10/2015 05:51:55,Compraria o DVD.
26/10/2015 06:24:10,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
26/10/2015 07:44:25,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
26/10/2015 08:12:41,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
26/10/2015 09:23:19,Compraria o DVD.
26/10/2015 10:19:52,Compraria o DVD.
26/10/2015 11:57:37,Compraria o DVD.
26/10/2015 12:18:10,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
26/10/2015 12:53:40,Compraria o DVD.
26/10/2015 13:01:52,Compraria o DVD.
26/10/2015 13:05:55,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
26/10/2015 14:45:47,Compraria o DVD.
26/10/2015 17:43:36,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
26/10/2015 17:58:11,Compraria o DVD.
26/10/2015 17:58:52,Compraria o DVD.
26/10/2015 23:13:39,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
26/10/2015 23:19:58,Compraria o DVD.
26/10/2015 23:20:17,Compraria o DVD.
26/10/2015 23:35:57,Compraria o DVD.
26/10/2015 23:36:06,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
27/10/2015 05:24:27,Compraria o DVD.
27/10/2015 11:34:15,"Não compraria o DVD. Pouparia os R$ 20,00 para algo especial."
28/10/2015 16:29:14,Compraria o DVD.
29/10/2015 16:27:29,Compraria o DVD.
30/10/2015 14:29:02,Compraria o DVD.
02/11/2015 11:51:32,Compraria o DVD.
13/11/2015 16:40:50,Compraria o DVD.
